Line;Time;clk 1;EA;out;
1;0;False;False;0;
2;0.01;True;True;1;
3;0.02;True;True;1;
4;0.03;True;True;1;
5;0.04;False;True;0;
6;0.05;False;True;0;
7;0.06;True;False;0;
8;0.07;True;False;0;
9;0.08;False;False;0;
10;0.09;False;False;0;
11;0.1;True;True;1;
12;0.11;True;True;1;
13;0.12;False;True;0;
14;0.13;False;True;0;
15;0.14;True;False;0;
16;0.15;True;False;0;
17;0.16;False;False;0;
18;0.17;False;False;0;
19;0.18;True;True;1;
20;0.19;True;True;1;
21;0.2;False;True;0;
22;0.21;False;True;0;
23;0.22;True;False;0;
24;0.23;True;False;0;
25;0.24;False;False;0;
26;0.25;False;False;0;
27;0.26;True;True;1;
28;0.27;True;True;1;
29;0.28;False;True;0;
30;0.29;False;True;0;
31;0.3;True;False;0;
32;0.31;True;False;0;
33;0.32;False;False;0;
34;0.33;False;False;0;
35;0.34;True;True;1;
36;0.35;True;True;1;
37;0.36;False;True;0;
38;0.37;False;True;0;
39;0.38;True;False;0;
40;0.39;True;False;0;
41;0.4;False;False;0;
42;0.41;False;False;0;
43;0.42;True;True;1;
44;0.43;True;True;1;
45;0.44;False;True;0;
46;0.45;False;True;0;
47;0.46;True;False;0;
48;0.47;True;False;0;
49;0.48;False;False;0;
50;0.49;False;False;0;
51;0.5;True;True;1;
52;0.51;True;True;1;
